"source","target","label"
4777411281162819,4777418654484138,"effectives"
4777411281162819,4777421443699305,"effectives"
4777411281162819,4777425625678267,"effectives"
4777425625678267,4777432148349731,"effectives"
4777411281162819,4777448648738704,"effectives"
4777411281162819,4777469313553845,"effectives"
4777469313553845,4777479951358519,"effectives"
4777448648738704,4777482701766739,"effectives"
4777479951358519,4777484316315917,"effectives"
4777411281162819,4777488154365938,"effectives"
4777411281162819,4777513539080146,"effectives"
4777448648738704,4777522917016920,"effectives"
4777469313553845,4777627392936780,"effectives"
4777411281162819,4777773280004918,"effectives"
4777773280004918,4777775552266608,"effectives"
4777775552266608,4777775707457467,"effectives"
4777775707457467,4777776189803418,"effectives"
4777776189803418,4777779067093019,"effectives"
4777779067093019,4777780523308086,"effectives"
4777411281162819,4777802106410498,"effectives"
4777425625678267,4777802652715589,"effectives"
4777411281162819,4777849213424546,"effectives"
4777849213424546,4777851058654920,"effectives"
4777851058654920,4777853646541509,"effectives"
4777411281162819,4777864567720187,"effectives"
4777411281162819,4778067799313103,"effectives"
4777411281162819,4778115912174284,"effectives"
4777411281162819,4778160179382396,"effectives"
4777513539080146,4778345340076285,"effectives"
4777411281162819,4778393046356202,"effectives"
4777411281162819,4778533718853581,"effectives"
4777411281162819,4778708509131037,"effectives"
4777411281162819,4778861739114783,"effectives"
4778861739114783,4778869699645261,"effectives"
4777411281162819,4779453571403106,"effectives"
4777448648738704,4779568026357639,"effectives"
4777411281162819,4779570450400086,"effectives"
4777411281162819,4779962294602921,"effectives"
4777448648738704,4779972164588059,"effectives"
4777411281162819,4780327976045079,"effectives"
4780327976045079,4780587531635755,"effectives"
4777411281162819,4780620000002686,"effectives"
4777411281162819,4780649309798587,"effectives"
4777411281162819,4780905409809149,"effectives"
4777411281162819,4781177652642029,"effectives"
4777411281162819,4781637760452936,"effectives"
4779972164588059,4781725366094904,"effectives"
4779568026357639,4781725668868462,"effectives"
4777411281162819,4782240603570684,"effectives"
4777448648738704,4782446812332681,"effectives"
4777448648738704,4782712609833061,"effectives"
4781725668868462,4782713678070564,"effectives"
4777411281162819,4782780946324815,"effectives"
4777411281162819,4783038989336911,"effectives"
4777411281162819,4783081053227516,"effectives"
4777411281162819,4783202050245386,"effectives"
4782712609833061,4783283394580183,"effectives"
4783283394580183,4783294284300337,"effectives"
4782240603570684,4783439091599008,"effectives"
4782713678070564,4783645753351239,"effectives"
4777411281162819,4783935755649111,"effectives"
4777411281162819,4783953200810742,"effectives"
4777411281162819,4784011174740024,"effectives"
4777411281162819,4784164865314695,"effectives"
4783202050245386,4784586250781025,"effectives"
4777448648738704,4785039377958726,"effectives"
4777411281162819,4785040833385749,"effectives"
4777411281162819,4785056943440758,"effectives"
4777411281162819,4785110757151285,"effectives"
4777411281162819,4785260438488871,"effectives"
4777421443699305,4785260976409329,"effectives"
4777411281162819,4785783254550690,"effectives"
4785783254550690,4785792486474977,"effectives"
4785792486474977,4785956404070563,"effectives"
4777411281162819,4785980529969175,"effectives"
4785956404070563,4785991770703424,"effectives"
4785991770703424,4785992752694722,"effectives"
4778861739114783,4786016462049628,"effectives"
4777411281162819,4786168263085898,"effectives"
4785783254550690,4786367265243867,"effectives"
4785992752694722,4786375516490199,"effectives"
4777411281162819,4786392570529350,"effectives"
4783645753351239,4786394843843283,"effectives"
4777411281162819,4786418645472018,"effectives"
4777411281162819,4786432272764862,"effectives"
4777411281162819,4786698090972860,"effectives"
4782240603570684,4786775862020084,"effectives"
4786375516490199,4786786624343847,"effectives"
4782780946324815,4786842513966274,"effectives"
4782780946324815,4787133070442615,"effectives"
4777411281162819,4787296450646603,"effectives"
4782712609833061,4787433952251915,"effectives"
4787433952251915,4787446414312779,"effectives"
4786418645472018,4787767642686961,"effectives"
4785956404070563,4787806696114996,"effectives"
4785783254550690,4787918927038772,"effectives"
4777411281162819,4787940326118147,"effectives"
4777411281162819,4788128336577290,"effectives"
4783645753351239,4789052958312105,"effectives"
4777411281162819,4795946808116019,"effectives"
4777411281162819,4795964709149401,"effectives"
4776349752888122,4776350734878260,"side_effectives"
4776349752888122,4776350776299797,"side_effectives"
4776349752888122,4776351191537914,"side_effectives"
4776349752888122,4776351708744070,"side_effectives"
4776349752888122,4776351854758010,"side_effectives"
4776349752888122,4776351972202440,"side_effectives"
4776349752888122,4776352311413652,"side_effectives"
4776349752888122,4776353855704623,"side_effectives"
4776349752888122,4776355478110659,"side_effectives"
4776349752888122,4776355487547652,"side_effectives"
4776350734878260,4776356207924927,"side_effectives"
4776355478110659,4776357894291977,"side_effectives"
