"id","label","counts"
"4558874714051686","happy",88
"4558874981708025","happy",2
"4558875184077566","happy",3
"4558877305864541","happy",2
"4558875187229356","happy",3
"4558878417357316","happy",5
"4558877829632083","happy",2
"4558876290063344","happy",2
"4558891712515200","happy",3
"4558883336755290","happy",2
"4558899947245903","happy",4
"4558907462133589","happy",2
"4558907853249346","happy",2
"4558875766822340","happy",6
"4558898793022154","happy",2
"4558884331330356","happy",4
"4558886923143593","happy",2
"4558941260612892","happy",3
"4558944002902291","happy",2
"4558972117593166","happy",2
"4558876089778851","happy",6
"4558876508686639","happy",2
"4559221105103885","happy",2
"4558874852203292","happy",1
"4558875070040421","happy",1
"4558875170440379","happy",1
"4558875204004372","happy",1
"4558875287889776","happy",1
"4558875321172103","happy",1
"4558875367839083","happy",1
"4558875388807954","happy",1
"4558875501801249","happy",1
"4558875527743562","happy",1
"4558875778882918","happy",1
"4558875787004942","happy",1
"4558875841530950","happy",1
"4558875841793249","happy",1
"4558875959756028","happy",1
"4558876118364576","happy",1
"4558876214833162","happy",1
"4558876286917067","happy",1
"4558876295037033","happy",1
"4558876555614893","happy",1
"4558876626392967","happy",1
"4558876697168425","happy",1
"4558876709752405","happy",1
"4558876920518739","happy",1
"4558877729491974","happy",1
"4558877867382616","happy",1
"4558878983074380","happy",1
"4558879410624333","happy",1
"4558879590974113","happy",1
"4558880656857178","happy",1
"4558883232423287","happy",1
"4558883504532674","happy",1
"4558885710993263","happy",1
"4558886255731075","happy",1
"4558887065747796","happy",1
"4558887116605544","happy",1
"4558889162382757","happy",1
"4558889662815230","happy",1
"4558890022209048","happy",1
"4558891163324393","happy",1
"4558891768087247","happy",1
"4558892472210826","happy",1
"4558893088514389","happy",1
"4558893503483817","happy",1
"4558894506706524","happy",1
"4558895299955226","happy",1
"4558896175516450","happy",1
"4558896721824635","happy",1
"4558896947272981","happy",1
"4558897043997946","happy",1
"4558898780969041","happy",1
"4558898910207666","happy",1
"4558898956601407","happy",1
"4558899363712670","happy",1
"4558900542319245","happy",1
"4558901796929648","happy",1
"4558904199482624","happy",1
"4558907369853535","happy",1
"4558907916420166","happy",1
"4558907932673413","happy",1
"4558908024432353","happy",1
"4558909056225280","happy",1
"4558909886442282","happy",1
"4558911229665006","happy",1
"4558911326394428","happy",1
"4558916626945392","happy",1
"4558925053565946","happy",1
"4558930049499939","happy",1
"4558932799930123","happy",1
"4558936861049107","happy",1
"4558937188470985","happy",1
"4558938365757218","happy",1
"4558940513766197","happy",1
"4558941918857285","happy",1
"4558942527556990","happy",1
"4558943341510788","happy",1
"4558944560742620","happy",1
"4558949573991630","happy",1
"4558950403685747","happy",1
"4558955483245111","happy",1
"4558959832470696","happy",1
"4558967646718794","happy",1
"4558969501391257","happy",1
"4558972843208870","happy",1
"4558974383041368","happy",1
"4558975758254442","happy",1
"4558982364796113","happy",1
"4558992346460182","happy",1
"4559000462694838","happy",1
"4559003666879481","happy",1
"4559026652972050","happy",1
"4559029801584548","happy",1
"4559046034325926","happy",1
"4559051168416101","happy",1
"4559068960391254","happy",1
"4559094612232161","happy",1
"4559095560144939","happy",1
"4559099574879834","happy",1
"4559099993788509","happy",1
"4559111997882642","happy",1
"4559143413745455","happy",1
"4559144507673423","happy",1
"4559162581983225","happy",1
"4559181912218518","happy",1
"4559183103667724","happy",1
"4559220773753613","happy",1
"4559320018072309","happy",1
"4535995242647289","sad",12
"4535997037811269","sad",1
"4535998103689931","sad",1
"4536023335831596","sad",1
"4536030223404019","sad",1
"4536386684718248","sad",1
"4536402652431362","sad",1
"4536419488636382","sad",1
"4536422919571284","sad",1
"4536552733280583","sad",1
"4536676959657529","sad",1
"4538118599873778","sad",1
"4641266773788224","sad",1
"4716448431737587","angry",103
"4720384857606665","angry",3
"4720528173043218","angry",21
"4719782685052959","angry",3
"4720897879179546","angry",4
"4721219611921569","angry",2
"4721096252721314","angry",6
"4721311509120805","angry",2
"4721557940999622","angry",18
"4721205682899077","angry",3
"4721612106763981","angry",3
"4721628003698886","angry",2
"4720539861520786","angry",2
"4721640589495897","angry",2
"4721693044771505","angry",3
"4721884438202264","angry",3
"4721987903818722","angry",3
"4722308969662984","angry",2
"4720396814780111","angry",2
"4720778564079931","angry",2
"4725869375127885","angry",2
"4725870177288660","angry",2
"4725870712852093","angry",3
"4722278581927976","angry",2
"4724470885647924","angry",3
"4725952946638479","angry",2
"4725962778871431","angry",2
"4725985066616061","angry",2
"4725930134340514","angry",3
"4726035188286154","angry",2
"4726033884646140","angry",2
"4726036933381251","angry",4
"4726063073331307","angry",2
"4726063404679492","angry",2
"4720460480906445","angry",3
"4720711761134348","angry",2
"4721196811160090","angry",2
"4721304869278075","angry",5
"4726185961981544","angry",3
"4726029807784795","angry",2
"4726063521073167","angry",2
"4726198624061539","angry",2
"4726228421183200","angry",2
"4726231638215710","angry",4
"4726225996350191","angry",2
"4726184392788523","angry",2
"4726348016255323","angry",2
"4726727080935573","angry",2
"4728610587935772","angry",2
"4727791730295016","angry",2
"4722351688387222","angry",2
"4726268152777339","angry",2
"4720401126526007","angry",2
"4726232530813935","angry",2
"4737501560050368","angry",2
"4737517561055631","angry",2
"4737518819346970","angry",2
"4733199038546510","angry",2
"4726921492171157","angry",3
"4722164929134932","angry",2
"4749593826821190","angry",2
"4749593277369947","angry",2
"4732063837851937","angry",3
"4721825819656872","angry",2
"4728088574038347","angry",2
"4750616704583340","angry",2
"4774758384926926","angry",3
"4720031164269292","angry",1
"4720400909730155","angry",1
"4720403501288979","angry",1
"4720404541473766","angry",1
"4720407401992499","angry",1
"4720415080975360","angry",1
"4720420693738674","angry",1
"4720421020631872","angry",1
"4720423956646325","angry",1
"4720523545940327","angry",1
"4720526269092627","angry",1
"4720529842111613","angry",1
"4720551195317631","angry",1
"4720586843227584","angry",1
"4720628147425203","angry",1
"4720737959280906","angry",1
"4720889646811367","angry",1
"4720971112256786","angry",1
"4720973591085423","angry",1
"4721148698299654","angry",1
"4721157285085825","angry",1
"4721198107984308","angry",1
"4721220123103707","angry",1
"4721221063148632","angry",1
"4721263250246649","angry",1
"4721277254238248","angry",1
"4721281499140908","angry",1
"4721298875614277","angry",1
"4721299399904833","angry",1
"4721305104157575","angry",1
"4721311189831284","angry",1
"4721312188601313","angry",1
"4721316366649299","angry",1
"4721342702685782","angry",1
"4721475666577187","angry",1
"4721524239765811","angry",1
"4721557504787370","angry",1
"4721610881239077","angry",1
"4721611653778154","angry",1
"4721620515817584","angry",1
"4721631035131873","angry",1
"4721640229049718","angry",1
"4721640376107986","angry",1
"4721701440455916","angry",1
"4721826649080980","angry",1
"4721837252806587","angry",1
"4721845645871177","angry",1
"4721885957062714","angry",1
"4721976030003622","angry",1
"4721982648880010","angry",1
"4722332373880336","angry",1
"4722494050664776","angry",1
"4722615656383729","angry",1
"4723436092655956","angry",1
"4724052600297795","angry",1
"4724160275681911","angry",1
"4724233165603098","angry",1
"4725865269170204","angry",1
"4725867442082366","angry",1
"4725872247966271","angry",1
"4725891056535343","angry",1
"4725891638757769","angry",1
"4726001822860219","angry",1
"4726007385560879","angry",1
"4726010727632756","angry",1
"4726029299487087","angry",1
"4726034845667047","angry",1
"4726036661540674","angry",1
"4726037545751752","angry",1
"4726040973280135","angry",1
"4726063022475586","angry",1
"4726063353823413","angry",1
"4726068114622516","angry",1
"4726078994383054","angry",1
"4726080256345887","angry",1
"4726096085909768","angry",1
"4726183705182981","angry",1
"4726183768361113","angry",1
"4726183986462789","angry",1
"4726184148992479","angry",1
"4726184263550816","angry",1
"4726186166977282","angry",1
"4726186243261093","angry",1
"4726189908557958","angry",1
"4726190999339111","angry",1
"4726198373190952","angry",1
"4726199400792717","angry",1
"4726207533023278","angry",1
"4726210880341375","angry",1
"4726217297365661","angry",1
"4726220833686421","angry",1
"4726236331638945","angry",1
"4726236520386833","angry",1
"4726239892606502","angry",1
"4726240222904523","angry",1
"4726245341005606","angry",1
"4726248678623270","angry",1
"4726250957178713","angry",1
"4726251371369339","angry",1
"4726267238158919","angry",1
"4726267482736482","angry",1
"4726267691665282","angry",1
"4726348444079475","angry",1
"4726372976823842","angry",1
"4726375930401969","angry",1
"4726667429806824","angry",1
"4726727270203525","angry",1
"4726832668868990","angry",1
"4726920707311751","angry",1
"4727043599893850","angry",1
"4727350308635598","angry",1
"4727622556190948","angry",1
"4727830270708938","angry",1
"4727842204289720","angry",1
"4728074112078151","angry",1
"4728901072585701","angry",1
"4729141574506363","angry",1
"4729672186730163","angry",1
"4730229753384366","angry",1
"4730416210904815","angry",1
"4731580252422354","angry",1
"4733196531666856","angry",1
"4733198380304769","angry",1
"4733198577175378","angry",1
"4733201429302348","angry",1
"4736152802955039","angry",1
"4736152852499150","angry",1
"4736155441174014","angry",1
"4736859689191997","angry",1
"4737555801312797","angry",1
"4739267605301893","angry",1
"4739267765211012","angry",1
"4739268028663103","angry",1
"4739829931705489","angry",1
"4743447670164711","angry",1
"4743709101396853","angry",1
"4745508490317781","angry",1
"4746132847068904","angry",1
"4747661452774992","angry",1
"4749454408683191","angry",1
"4749594339055843","angry",1
"4750292346738330","angry",1
"4750635922358939","angry",1
"4750957659817625","angry",1
"4752519437222527","angry",1
"4752520633387004","angry",1
"4752520863287704","angry",1
"4752857175168496","angry",1
"4753528637362973","angry",1
"4756775078989123","angry",1
"4757926663686316","angry",1
"4760698066833238","angry",1
"4770270931325455","angry",1
"4773813768686404","angry",1
"4773895746619947","angry",1
"4773895847021042","angry",1
"4774145743652490","angry",1
"4774145840385132","angry",1
"4774146091780417","angry",1
"4774534266226322","angry",1
"4774771650201523","angry",1
"4774788151905219","angry",1
"4774818195443369","angry",1
"4774874289799971","angry",1
"4774874843711516","angry",1
"4774876160197456","angry",1
"4507091631599536","fear",10
"4507092545991187","fear",1
"4507093056919962","fear",1
"4507098107052588","fear",1
"4507100145396056","fear",1
"4507106256489394","fear",1
"4507106331815382","fear",1
"4507110031449892","fear",1
"4507113840122215","fear",1
"4507118806661072","fear",1
"4507431399790500","fear",1
"4727748335240726","neutral",9
"4727756296295846","neutral",1
"4727773098149721","neutral",1
"4728036640163847","neutral",1
"4728049884465855","neutral",1
"4728114741249996","neutral",1
"4728539356857376","neutral",1
"4728733766258100","neutral",1
"4732448128635513","neutral",1
"4736333580862880","neutral",1
"4696432504209687","surprise",16
"4696555447648758","surprise",2
"4698152851998951","surprise",2
"4696717004112701","surprise",2
"4697005283085268","surprise",2
"4697323227058133","surprise",2
"4698904233247209","surprise",3
"4699414218671910","surprise",2
"4699424377538887","surprise",3
"4699190217935228","surprise",2
"4744584363769874","surprise",2
"4746125712297453","surprise",3
"4737883154154232","surprise",2
"4746336556028820","surprise",3
"4758471440074396","surprise",2
"4696571272235823","surprise",1
"4698305831634604","surprise",1
"4698636182883874","surprise",1
"4698636443191960","surprise",1
"4699436834098682","surprise",1
"4699758449656242","surprise",1
"4704569161156400","surprise",1
"4705168636248171","surprise",1
"4705423154217396","surprise",1
"4744584284078617","surprise",1
"4745563863521184","surprise",1
"4746336467422395","surprise",1
"4752250133546739","surprise",1
"4752361065549139","surprise",1
"4754436398516862","surprise",1
"4754436583325775","surprise",1
"4758470823516296","surprise",1
"4758471629604198","surprise",1
"4758528336859285","surprise",1
"4763426129182750","surprise",1
