"id","label","counts"
"4726250957178713","Misleading Content",1
"4726251371369339","Misleading Content",1
"4726267238158919","Misleading Content",1
"4726267482736482","Misleading Content",1
"4726267691665282","Misleading Content",1
"4726348444079475","Misleading Content",1
"4726372976823842","Misleading Content",1
"4726375930401969","Misleading Content",1
"4726667429806824","Misleading Content",1
"4726727270203525","Misleading Content",1
"4726832668868990","Misleading Content",1
"4726920707311751","Misleading Content",1
"4727043599893850","Misleading Content",1
"4727350308635598","Misleading Content",1
"4727622556190948","Misleading Content",1
"4727830270708938","Misleading Content",1
"4727842204289720","Misleading Content",1
"4728074112078151","Misleading Content",1
"4728901072585701","Misleading Content",1
"4729141574506363","Misleading Content",1
"4729672186730163","Misleading Content",1
"4730229753384366","Misleading Content",1
"4730416210904815","Misleading Content",1
"4731580252422354","Misleading Content",1
"4733196531666856","Misleading Content",1
"4733198380304769","Misleading Content",1
"4733198577175378","Misleading Content",1
"4733201429302348","Misleading Content",1
"4736152802955039","Misleading Content",1
"4736152852499150","Misleading Content",1
"4736155441174014","Misleading Content",1
"4736859689191997","Misleading Content",1
"4737555801312797","Misleading Content",1
"4739267605301893","Misleading Content",1
"4739267765211012","Misleading Content",1
"4739268028663103","Misleading Content",1
"4739829931705489","Misleading Content",1
"4743447670164711","Misleading Content",1
"4743709101396853","Misleading Content",1
"4745508490317781","Misleading Content",1
"4746132847068904","Misleading Content",1
"4747661452774992","Misleading Content",1
"4749454408683191","Misleading Content",1
"4749594339055843","Misleading Content",1
"4750292346738330","Misleading Content",1
"4750635922358939","Misleading Content",1
"4750957659817625","Misleading Content",1
"4752519437222527","Misleading Content",1
"4752520633387004","Misleading Content",1
"4752520863287704","Misleading Content",1
"4752857175168496","Misleading Content",1
"4753528637362973","Misleading Content",1
"4756775078989123","Misleading Content",1
"4757926663686316","Misleading Content",1
"4760698066833238","Misleading Content",1
"4770270931325455","Misleading Content",1
"4773813768686404","Misleading Content",1
"4773895746619947","Misleading Content",1
"4773895847021042","Misleading Content",1
"4774145743652490","Misleading Content",1
"4774145840385132","Misleading Content",1
"4774146091780417","Misleading Content",1
"4774534266226322","Misleading Content",1
"4774771650201523","Misleading Content",1
"4774788151905219","Misleading Content",1
"4774818195443369","Misleading Content",1
"4774874289799971","Misleading Content",1
"4774874843711516","Misleading Content",1
"4774876160197456","Misleading Content",1
"4705683013108901","Fabricated",63
"4705686854045819","Fabricated",8
